Cluster,Cluster_Name,Top_Words,Sample_Names,Count
0,вилочный погрузчик,"вилочный, погрузчик, автопогрузчик, вилочный погрузчик, автопогрузчик вилочный","Фронтальный вилочный автопогрузчик, Вилочный электропогрузчик, Вилочный автопогрузчик, Автопогрузчик вилочный, Погрузчик вилочный",32
1,эвакуатор специальный эвакуатор,"эвакуатор, специальный эвакуатор, эвакуатор кму, специальный, кму","Эвакуатор, Эвакуатор с КМУ, Прицеп эвакуатор, Специальный эвакуатор с КМУ, Автомобиль эвакуатор",7
2,полуприцеп тент,"полуприцеп, тент, полуприцеп тент, бортовой полуприцеп, специализированный полуприцеп","Полуприцеп самосвальный, Полуприцеп-автовоз, Полуприцеп-зерновоз, Полуприцеп-лесовоз, Полуприцеп-панелевоз",52
3,одноковшовый фронтальный,"одноковшовый, фронтальный, погрузчик, погрузчик одноковшовый, фронтальный одноковшовый","Фронтальный погрузчик, Погрузчик фронтальный, Погрузчик одноковшовый фронтальный, Погрузчик одноковшовый колесный, Погрузчик строительный пневмоколесный одноковшовый фронтальный",19
4,подъемник самоходный,"подъемник, самоходный, ножничный, коленчатый, подъемник самоходный","Подъемник каротажный, Подъемник-погрузчик, Коленчатый подъемник, Лодочный самоходный подъемник, Электрический подъемник с платформой",43
5,изотермический фургон изотермический,"изотермический, фургон изотермический, фургон, полуприцеп изотермический, грузовой изотермический","Изотермический фургон, Полуприцеп изотермический, Автомобиль-фургон изотермический, Автофургон изотермический, Фургон изотермический",17
6,экскаватор погрузчик,"экскаватор, погрузчик, экскаватор погрузчик, колесный, погрузчик экскаватор","Экскаватор многоковшовый, Экскаватор-погрузчик, Мини-экскаватор, Экскаватор-планировщик, Экскаватор",31
7,специализированный прицеп прицеп,"специализированный прицеп, прицеп, специализированный, роспуск, прицеп роспуск","Специализированный, прицеп для перевозки сменных кузовов, Специализированный, прицеп-самосвал, Специализированный, прицеп сортиментовоз, Специализированный, прицеп-тяжеловоз, Специализированный, прицеп-роспуск трубоплетевозный",12
8,фургон автомобиль фургон,"фургон, автомобиль фургон, фургон рефрижератор, рефрижератор, автомобиль","Бронированный фургон, Грузопассажирский фургон, Промтоварный фургон, Хлебный фургон, Цельнометаллический фургон",32
9,кран кран манипулятор,"кран, кран манипулятор, манипулятор, стреловой, оснащать кран","Башенный кран, Самоходный кран, Кран-манипулятор, Кран-манипулятор автомобильный, Специализированный, грузовой бортовой оснащенный краном-манипулятором",43
10,коммунальный машина коммунальный,"коммунальный, машина коммунальный, машина, хозяйство, коммунальный машина","Коммунальный трактор, Коммунальная машина, Машина коммунально-строительная многоцелевая, Вакуумная уборочная коммунальная машина, Многоцелевая коммунально-строительная машина",15
11,контейнеровоз специализированный контейнеровоз,"контейнеровоз, специализированный контейнеровоз, прицеп контейнеровоз, специализированный, полуприцеп контейнеровоз","Прицеп-контейнеровоз, Контейнеровоз, Полуприцеп-контейнеровоз, Специализированный, полуприцеп-контейнеровоз, Грузовой-контейнеровоз",9
12,транспортный средство средство,"транспортный средство, средство, транспортный, пассажирский, специализированный пассажирский","Специализированные пассажирские транспортные средства, Специализированное пассажирское ТС, Транспортное средство для оказания ритуальных услуг, Специализированный, транспортное средство для перевозки опасных грузов, Специальное транспортное средство, автогудронатор",15
13,сортиментовоз автомобиль сортиментовоз,"сортиментовоз, автомобиль сортиментовоз, сортиментовоз кму, автомобиль, специализированный сортиментовоз","Сортиментовоз, Сортиментовоз с КМУ, Прицеп-сортиментовоз, Полуприцеп-сортиментовоз, Сортиментовоз с КМУ",20
14,машина бурильный,"машина, бурильный, специальный машина, универсальный, погрузочный","Бурильно-крановое ТС, Машина для внесения удобрений, Разметочная машина, Бурильно-крановая машина, Машина для уборки помещений",80
15,автоцистерна специализированный,"автоцистерна, специализированный, дробилка, копер, бетоносмеситель","Пикап, Багги, Автобетоновоз, Автобетононасос, Автобетоносмеситель",235
16,агрегат цементировочный,"агрегат, цементировочный, скважина, сварочный, специальный агрегат","Цементировочный агрегат, Агрегат для депарафинизации скважин, Сварочный агрегат, Агрегат кислотной обработки скважин, Агрегат подъемный для ремонта и бурения скважин",18
17,установка дробильный,"установка, дробильный, бурение, дробильный установка, самоходный","Установка насосная, Парогенераторная установка, Прицепная установка для ремонта дорог, Установка ГНБ, Дробильная установка",40
18,колесный погрузчик колесный,"колесный погрузчик, колесный, погрузчик, фронтальный колесный, самоходный колесный","Фронтальный колесный погрузчик, Фронтальный колесный мини-погрузчик, Погрузчик фронтальный колесный, Самоходный колесный погрузчик, Самоходный колесный погрузчик",7
19,тракторный прицеп тракторный,"тракторный, прицеп тракторный, прицеп, полуприцеп тракторный, полуприцеп","Прицеп тракторный самосвальный, Прицеп тракторный специальный, Прицеп тракторный топливозаправщик, Полуприцеп тракторный, Прицеп тракторный сельскохозяйственный",23
20,снегоболотоход снегоболотоход колесный,"снегоболотоход, снегоболотоход колесный, колесный малогабаритный, колесный, малогабаритный","Снегоболотоход, Снегоболотоход, Снегоболотоход гусеничный, Снегоболотоход колесный, Снегоболотоход многоцелевой",10
21,бортовой кму,"бортовой, кму, платформа, бортовой платформа, грузовой бортовой","Грузовой-бортовой, Бортовой с КМУ, Лесовоз с КМУ, Автомастерская с КМУ, Мультилифт с КМУ",41
22,общий общий назначение,"общий, общий назначение, назначение, фургон общий, фургон","Фургон общего назначения, Полуприцеп общего назначения, Грузовой автомобиль общего назначения, Для перевозки грузов общего назначения, Автобус общего назначения",11
23,ричтрак электрический,"ричтрак, электрический, штабелер, штабелер электрический, электрический ричтрак","Ричтрак, Электрический ричтрак, Электрический штабелер-ричтрак, Ричтрак электрический, Штабелер электрический",6
24,автомобиль специальный,"автомобиль, специальный, специальный автомобиль, автомобиль бортовой, автомобиль специальный","Санитарный автомобиль, Аварийный автомобиль, Автомобиль специальный, Комбинированный автомобиль, Автомобиль аэродромный пожарный",55
25,прицеп прицеп бортовой,"прицеп, прицеп бортовой, бортовой, специальный, прицеп лесовоз","Прицеп-дизель-генератор, Прицеп-компрессор, Прицеп бортовой, Прицеп промтоварный, Прицеп самосвальный",67
26,снегоочиститель снегоочиститель шнекороторный,"снегоочиститель, снегоочиститель шнекороторный, шнекороторный, роторный, снегоочиститель роторный","Снегоочиститель, Снегоочиститель, Снегоочиститель шнекороторный, Снегоочиститель роторный, Снегоочиститель шнекороторный",7
27,перевозка специализированный перевозка,"перевозка, специализированный перевозка, специализированный, перевозка пищевой, пищевой","Фургон для перевозки опасных грузов, Специализированный, для перевозки пищевых жидкостей, Для перевозки продуктов питания, в том числе скоропортящихся, Специализированный, для перевозки и временного хранения взрывчатых веществ и изделий, Специализированный, для перевозки животных",35
28,погрузчик телескопический,"погрузчик, телескопический, фронтальный, мини погрузчик, крюковой","Мультилифт (Крюковой погрузчик), Погрузчик, Газовый погрузчик, Мини-погрузчик, Портальный погрузчик",56
29,трактор промышленный,"трактор, промышленный, колесный, трактор промышленный, трактор гусеничный","Трактор, Трактор трелеровочный(скиддер), Многофункциональный маневровый трактор, Трактор садовый, Трактор промышленный колесный",21
